BOOK_NAME,AUTHOR_NAME,QUANTITY
Don Quixote,Miguel de Cervantes,143
Alice's Adventures in Wonderland,Lewis Carroll,58
The Adventures of Huckleberry Finn,Mark Twain,160
The Adventures of Tom Sawyer,Mark Twain,177
Treasure Island,Robert Louis Stevenson,159
Pride and Prejudice,Jane Austen,84
Wuthering Heights,Emily Brontë,19
Jane Eyre,Charlotte Brontë,206
Moby Dick,Herman Melville,192
The Scarlet Letter,Nathaniel Hawthorne,77
Gulliver's Travels,Jonathan Swift,180
The Pilgrim's Progress,John Bunyan,61
A Christmas Carol,Charles Dickens,80
David Copperfield,Charles Dickens,162
A Tale of Two Cities,Charles Dickens,190
Little Women,Louisa May Alcott,7
Great Expectations,Charles Dickens,187
"The Hobbit, or, There and Back Again",J.R.R. Tolkien,105
"Frankenstein, or, the Modern Prometheus",Mary Shelley,187
Oliver Twist,Charles Dickens,88
Uncle Tom's Cabin,Harriet Beecher Stowe,53
Crime and Punishment,Fyodor Dostoyevsky,30
Madame Bovary: Patterns of Provincial life,Gustave Flaubert,85
The Return of the King,J.R.R. Tolkien,4
Dracula,Bram Stoker,198
The Three Musketeers,Alexandre Dumas,70
Brave New World,Aldous Huxley,172
War and Peace,Leo Tolstoy,83
To Kill a Mockingbird,Harper Lee,44
The Wizard of Oz,L. Frank Baum,189
Les Misérables,Victor Hugo,40
The Secret Garden,Frances Hodgson Burnett,203
Animal Farm,George Orwell,33
The Great Gatsby,F. Scott Fitzgerald,73
The Little Prince,Antoine de Saint-Exupéry,50
The Call of the Wild,Jack London,130
"20,000 Leagues Under the Sea",Jules Verne,138
Anna Karenina,Leo Tolstoy,162
The Wind in the Willows,Kenneth Grahame,183
The Picture of Dorian Gray,Oscar Wilde,202
The Grapes of Wrath,John Steinbeck,102
Sense and Sensibility,Jane Austen,108
The Last of the Mohicans,James Fenimore Cooper,184
Tess of the d'Urbervilles,Thomas Hardy,44
Harry Potter and the Sorcerer's Stone,J.K. Rowling,170
Heidi,Johanna Spyri,183
Ulysses,James Joyce,12
The Complete Sherlock Holmes,Arthur Conan Doyle,99
The Count of Monte Cristo,Alexandre Dumas,60
The Old Man and the Sea,Ernest Hemingway,172
"The Lion, the Witch, and the Wardrobe",C.S. Lewis,156
The Hunchback of Notre Dame,Victor Hugo,60
Pinocchio,Carlo Collodi,137
One Hundred Years of Solitude,Gabriel García Márquez,6
Ivanhoe,Walter Scott,20
The Red Badge of Courage,Stephen Crane,218
Anne of Green Gables,L.M. Montgomery,169
Black Beauty,Anna Sewell,116
Peter Pan,J.M. Barrie,75
A Farewell to Arms,Ernest Hemingway,42
The House of the Seven Gables,Nathaniel Hawthorne,122
Lord of the Flies,William Golding,31
The Prince and the Pauper,Mark Twain,139
A Portrait of the Artist as a Young Man,James Joyce,130
Lord Jim,Joseph Conrad,118
Harry Potter and the Chamber of Secrets,J.K. Rowling,128
The Red & the Black,Stendhal,197
The Stranger,Albert Camus,167
The Trial,Franz Kafka,211
Lady Chatterley's Lover,D.H. Lawrence,175
Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson,178
The Catcher in the Rye,J.D. Salinger,189
Fahrenheit 451,Ray Bradbury,68
A Journey to the Center of the Earth,Jules Verne,52
Vanity Fair,William Makepeace Thackeray,167
All Quiet on the Western Front,Erich Maria Remarque,30
Gone with the Wind,Margaret Mitchell,157
My Ántonia,Willa Cather,120
Of Mice and Men,John Steinbeck,156
The Vicar of Wakefield,Oliver Goldsmith,33
A Connecticut Yankee in King Arthur's Court,Mark Twain,203
White Fang,Jack London,164
Fathers and Sons,Ivan Sergeevich Turgenev,54
Doctor Zhivago,Boris Leonidovich Pasternak,148
The Decameron,Giovanni Boccaccio,191
Nineteen Eighty-Four,George Orwell,147
The Jungle,Upton Sinclair,178
The Da Vinci Code,Dan Brown,168
Persuasion,Jane Austen,185
Mansfield Park,Jane Austen,213
Candide,Voltaire,209
For Whom the Bell Tolls,Ernest Hemingway,131
Far from the Madding Crowd,Thomas Hardy,10
The Fellowship of the Ring,J.R.R. Tolkien,210
The Return of the Native,Thomas Hardy,144
Sons and Lovers,D.H. Lawrence,171
Charlotte's Web,E.B. White,151
The Swiss Family Robinson,Johann David Wyss,69
Bleak House,Charles Dickens,146
Père Goriot,Honoré de Balzac,93
Utopia,Thomas More,7
"The History of Tom Jones, a Foundling",Henry Fielding,58
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,216
Kim,Rudyard Kipling,98
The Sound and the Fury,William Faulkner,180
Harry Potter and the Goblet of Fire,J.K. Rowling,179
The Mill on the Floss,George Eliot,31
A Wrinkle in Time,Madeleine L'Engle,218
The Hound of the Baskervilles,Arthur Conan Doyle,121
The Two Towers,J.R.R. Tolkien,165
The War of the Worlds,H.G. Wells,152
Middlemarch,George Eliot,174
The Age of Innocence,Edith Wharton,143
The Color Purple,Alice Walker,21
Northanger Abbey,Jane Austen,185
East of Eden,John Steinbeck,114
On the Road,Jack Kerouac,187
Catch-22,Joseph Heller,94
Around the World in Eighty Days,Jules Verne,15
Hard Times,Charles Dickens,27
Beloved,Toni Morrison,138
Mrs. Dalloway,Virginia Woolf,79
To the Lighthouse,Virginia Woolf,214
The Magician's Nephew,C.S. Lewis,205
Harry Potter and the Order of the Phoenix,J.K. Rowling,146
The Sun Also Rises,Ernest Hemingway,156
The Good Earth,Pearl S. Buck,41
Silas Marner,George Eliot,17
Love in the Time of Cholera,Gabriel García Márquez,10
Rebecca,Daphne Du Maurier,103
Jude the Obscure,Thomas Hardy,77
Twilight,Stephenie Meyer,165
A Passage to India,E.M. Forster,99
The Plague,Albert Camus,92
Nicholas Nickleby,Charles Dickens,205
The Pearl,John Steinbeck,137
Ethan Frome,Edith Wharton,88
The Tale of Genji,Murasaki Shikibu,200
The Giver,Lois Lowry,36
The Alchemist,Paulo Coelho,11
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,122
Robinson Crusoe,Daniel Defoe,16
Tender is the Night,F. Scott Fitzgerald,94
The Idiot,Fyodor Dostoyevsky,101
Hatchet,Gary Paulsen,191
The Kite Runner,Khaled Hosseini,99
One Flew Over the Cuckoo's Nest,Ken Kesey,9
The Portrait of a Lady,Henry James,173
The Outsiders,S.E. Hinton,35
Ben-Hur,Lew Wallace,70
The Mayor of Casterbridge,Thomas Hardy,127
"Cry, The Beloved Country",Alan Paton,23
The Last Battle,C.S. Lewis,123
Captains Courageous,Rudyard Kipling,77
The Castle,Franz Kafka,168
The Metamorphosis,Franz Kafka,51
The Magic Mountain (Der Zauberberg),Thomas Mann,81
James and the Giant Peach,Roald Dahl,153
The Horse and His Boy,C.S. Lewis,41
Angels & Demons,Dan Brown,122
The Voyage of the Dawn Treader,C.S. Lewis,153
The Bell Jar,Sylvia Plath,139
Women in Love,D.H. Lawrence,186
The Yearling,Marjorie Kinnan Rawlings,85
O Pioneers!,Willa Cather,143
The Handmaid's Tale,Margaret Atwood,21
The Moonstone,Wilkie Collins,106
The Old Curiosity Shop,Charles Dickens,204
Little Dorrit,Charles Dickens,159
Prince Caspian: The Return to Narnia,C.S. Lewis,133
Sister Carrie,Theodore Dreiser,3
The Silver Chair,C.S. Lewis,159
The Hunger Games,Suzanne Collins,75
This Side of Paradise,F. Scott Fitzgerald,216
Eugénie Grandet,Honoré de Balzac,150
Of Human Bondage,W. Somerset Maugham,15
Dream of the Red Chamber,Cao Xueqin,95
Life of Pi,Yann Martel,84
Harry Potter and the Deathly Hallows,J.K. Rowling,157
Invisible Man,Ralph Ellison,132
Steppenwolf,Hermann Hesse,66
The Sorrows of Young Werther,Johann Wolfgang von Goethe,162
Bridge to Terabithia,Katherine Paterson,120
The Invisible Man,H.G. Wells,131
Holes,Louis Sachar,137
Siddhartha,Hermann Hesse,204
A Tree Grows in Brooklyn,Betty Smith,81
"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,27
In Cold Blood,Truman Capote,82
